Year,Development_Status,"Population, total","Population, female","Population, male","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),GDP growth (annual %),Urban population growth (annual %),"Fertility rate, total (births per woman)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate)
1980,0,65672428.875,33640698.375,32031730.5,14.1875,8.6375,751609538696.8179,5.993120833333333,80.77199999999999,43.33484073587864,44.42130820709995,2.064134189947925,0.8684172732251794,1.7413125,2.5203083480048067,24.378594739791243,73.10109789594699
1980,1,146822177.70588234,72496203.76470588,74325973.94117647,33.72588235294118,11.269705882352941,157404469351.5917,6.061372549019608,39.07652941176471,20.890023440604704,25.826805079105565,5.423904066318929,4.03039596862589,4.7620000000000005,37.207885263279216,19.578907393049366,43.21320585754378
1980,2,15156126.333333334,7673781.0,7482345.333333333,42.576,13.524000000000001,2820492498.9221277,2.351977777777778,18.747333333333334,32.09047518809874,38.50217503166369,5.563605275014113,20.764048443766285,5.738666666666667,61.8592829281177,12.87619290785122,25.264525022202022
1981,0,66158289.75,33875034.375,32283255.375,13.975,8.6,794526260851.4237,5.993120833333333,80.883375,43.17648692961609,43.64510157778062,2.921223610837389,1.3259652968799271,1.707125,2.5203083480048067,24.378594739791243,73.10109789594699
1981,1,149463382.70588234,73794089.76470588,75669292.94117647,33.48241176470589,11.026823529411764,164117205097.96555,6.061372549019608,39.65352941176471,19.97473238988515,25.77315086864896,5.185913096339177,3.6580141316956656,4.679764705882353,37.207885263279216,19.578907393049366,43.21320585754378
1981,2,15547304.333333334,7851495.0,7695809.333333333,42.88166666666667,13.203999999999999,3312509405.9018216,2.351977777777778,19.873,30.776420061918575,38.29630614987419,6.30742385364799,12.46664401264335,5.759666666666667,61.8592829281177,12.87619290785122,25.264525022202022
1982,0,66607059.0,34090785.75,32516273.25,13.9,8.575,797731120025.6499,5.993120833333333,80.955,41.113717405262435,41.23372803586184,1.778784027096792,1.1891266289469857,1.6970625,2.5203083480048067,24.378594739791243,73.10109789594699
1982,1,152308326.11764705,75190949.52941176,77117376.58823529,33.364588235294114,10.937470588235294,160943070844.30664,6.061372549019608,40.183882352941175,19.364635328518382,24.471535184219167,3.2363149012233374,3.4300879420012778,4.6320588235294125,37.207885263279216,19.578907393049366,43.21320585754378
1982,2,15905297.666666666,8028219.333333333,7877078.333333333,43.05833333333334,12.957333333333333,3628794069.2108994,2.351977777777778,20.151,29.943204691101176,37.06773660056659,2.746057857372397,4.38362044595107,5.7476666666666665,61.8592829281177,12.87619290785122,25.264525022202022
1983,0,67014426.375,34280281.0,32734145.375,13.5875,8.625,845659087088.6346,5.993120833333333,81.01112499999999,38.54175938385306,38.26014337607272,3.1944305536891315,0.6945704458366786,1.661625,2.5203083480048067,24.378594739791243,73.10109789594699
1983,1,155218421.7647059,76618893.05882353,78599528.70588236,32.9305294117647,11.204294117647057,156694045265.4129,6.061372549019608,40.685764705882356,19.948883542318406,24.46269809395765,3.5930591692978577,3.5597521527973743,4.532764705882353,37.207885263279216,19.578907393049366,43.21320585754378
